        10683                 1_KS_U                 X   155070.508 Y    517839.935 Z    80.977          
        10684                 1_KS_X                 X   155070.973 Y    517840.010 Z    80.940          
        10685                 1_KS_Y                 X   155070.483 Y    517840.014 Z    81.753          
        10686              1_GR_K_10                 X   155069.868 Y    517839.851 Z    81.337          
        10687              1_GR_K_10                 X   155070.427 Y    517839.964 Z    81.334          
        10688              1_GR_K_10                 X   155070.501 Y    517839.931 Z    80.973          
        10689              1_GR_K_10                 X   155071.062 Y    517839.980 Z    80.947          
        10690                 0_K_10                 X   155069.861 Y    517839.834 Z    81.335          
        10691                 0_K_10                 X   155070.003 Y    517839.900 Z    81.510          
        10692                 0_K_10                 X   155070.229 Y    517839.970 Z    81.748          
        10693                 0_K_10                 X   155070.758 Y    517840.050 Z    81.767          
        10694               0_K_10_$                 X   155070.756 Y    517840.051 Z    81.767            
        10696              1_FG_K_10                 X   155069.993 Y    517839.854 Z    81.372          
        10697              1_FG_K_10                 X   155070.264 Y    517839.939 Z    81.736          
        10698              1_FG_K_10                 X   155070.482 Y    517839.966 Z    81.735          
        10699              1_FG_K_10                 X   155070.507 Y    517839.953 Z    81.349          
        10700              1_FG_K_10                 X   155070.649 Y    517839.994 Z    81.578          
        10701              1_FG_K_10                 X   155070.785 Y    517840.006 Z    81.741          
        10702              1_FG_K_10                 X   155070.815 Y    517839.986 Z    81.127          
        10703              1_FG_K_10                 X   155071.089 Y    517840.032 Z    81.314          
        10704              1_FG_K_10                 X   155070.522 Y    517839.942 Z    81.003          
        10705              1_FG_K_10                 X   155071.048 Y    517839.994 Z    80.993 
      	11028              1-FG-K-10                 X   155070.550 Y    517839.939 Z    81.012          
        11029              1-FG-K-10                 X   155071.073 Y    517840.024 Z    81.001              
