        3818              1-FG-R-NW3                 X   155058.621 Y    517843.056 Z    81.332          
        3819              1-FG-R-NW3                 X   155058.866 Y    517843.397 Z    82.070          
        3820              1-FG-R-NW3                 X   155058.965 Y    517843.346 Z    80.608          
        3821              1-FG-R-NW3                 X   155058.994 Y    517843.334 Z    80.244          
        3822              1-FG-R-NW3                 X   155059.198 Y    517843.659 Z    81.512          
        3823              1-FG-R-NW3                 X   155059.504 Y    517844.029 Z    82.111          
        3824              1-FG-R-NW3                 X   155059.940 Y    517844.453 Z    82.103          
        3825              1-FG-R-NW3                 X   155059.834 Y    517844.259 Z    81.526          
        3826              1-FG-R-NW3                 X   155060.101 Y    517844.453 Z    80.870          
        3827              1-FG-R-NW3                 X   155059.633 Y    517843.997 Z    80.791          
        3828              1-FG-R-NW3                 X   155056.982 Y    517841.285 Z    80.148          
